ID,geneID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue
GO:0003723,MGG_13803/MGG_04523/MGG_06334/MGG_10192/MGG_11229/MGG_12809/MGG_03506/MGG_07511/MGG_00481/MGG_04405/MGG_16887/MGG_00976/MGG_02632/MGG_06396/MGG_15600/MGG_08741/MGG_06318/MGG_12370/MGG_03572/MGG_01781/MGG_06658/MGG_01746/MGG_08084/MGG_14563/MGG_04179/MGG_01448/MGG_04482/MGG_11457,RNA binding,28/402,251/10114,7.222344466730216e-7,2.101702239818493e-4,1.748567607734684e-4
GO:0004674,MGG_01279/MGG_15988/MGG_02944/MGG_06393/MGG_06070/MGG_14329/MGG_05376/MGG_06413/MGG_07012/MGG_01196/MGG_03937/MGG_11326/MGG_12821/MGG_07291/MGG_08097/MGG_05220,protein serine/threonine kinase activity,16/402,104/10114,3.0870576411302856e-6,4.459664762376195e-4,3.7103378381136737e-4
GO:0016310,MGG_01279/MGG_15988/MGG_02944/MGG_06393/MGG_03007/MGG_00446/MGG_06070/MGG_14329/MGG_00481/MGG_05376/MGG_11174/MGG_06413/MGG_07012/MGG_01196/MGG_03937/MGG_17976/MGG_12862/MGG_11326/MGG_08159/MGG_12821/MGG_07291/MGG_07151/MGG_09479/MGG_08097/MGG_05220,phosphorylation,25/402,230/10114,4.59759253853216e-6,4.459664762376195e-4,3.7103378381136737e-4
GO:0016301,MGG_01279/MGG_15988/MGG_02944/MGG_06393/MGG_03007/MGG_00446/MGG_06070/MGG_14329/MGG_00481/MGG_05376/MGG_11174/MGG_06413/MGG_07012/MGG_01196/MGG_03937/MGG_12862/MGG_11326/MGG_08159/MGG_12821/MGG_07291/MGG_07151/MGG_08097/MGG_05220,kinase activity,23/402,216/10114,1.5561066720845932e-5,0.0011320676039415416,9.418540383669907e-4
GO:0005874,MGG_05060/MGG_07143/MGG_02425/MGG_02522/MGG_06839/MGG_04472/MGG_04366/MGG_04185/MGG_02875,microtubule,9/402,41/10114,2.5572574397153897e-5,0.0014883238299143568,0.001238250970809557
GO:0016772,MGG_01279/MGG_15988/MGG_02944/MGG_03007/MGG_06070/MGG_14329/MGG_05376/MGG_09371/MGG_11174/MGG_06413/MGG_07012/MGG_01196/MGG_11537/MGG_12862/MGG_11326/MGG_07291/MGG_09479/MGG_08097/MGG_05220,"transferase activity, transferring phosphorus-containing groups",19/402,173/10114,5.592237615099366e-5,0.0027122352433231922,0.002256516932408516
GO:0006468,MGG_01279/MGG_15988/MGG_02944/MGG_06393/MGG_06070/MGG_14329/MGG_05376/MGG_06413/MGG_07012/MGG_01196/MGG_03937/MGG_11326/MGG_12821/MGG_07291/MGG_08097/MGG_05220,protein phosphorylation,16/402,135/10114,8.688866424570568e-5,0.003612085899357193,0.0030051718460920767
GO:0004672,MGG_01279/MGG_15988/MGG_02944/MGG_06393/MGG_06070/MGG_14329/MGG_05376/MGG_06413/MGG_07012/MGG_01196/MGG_11326/MGG_12821/MGG_07291/MGG_08097/MGG_05220,protein kinase activity,15/402,131/10114,2.1168182323619587e-4,0.007699926320216625,0.006406160440042771
GO:0007154,MGG_06628/MGG_00960/MGG_12832/MGG_11649/MGG_02948,cell communication,5/402,16/10114,2.9387008768620623e-4,0.009501799501854003,0.007905277212611396
GO:0046907,MGG_12141/MGG_07338/MGG_05203/MGG_05208,intracellular transport,4/402,10/10114,4.2665417896993745e-4,0.01128694237093198,0.009390474752448384
GO:1990939,MGG_05060/MGG_02425/MGG_06839/MGG_04366,ATP-dependent microtubule motor activity,4/402,10/10114,4.2665417896993745e-4,0.01128694237093198,0.009390474752448384
GO:0003774,MGG_05060/MGG_02425/MGG_13014/MGG_06839/MGG_04366,motor activity,5/402,19/10114,7.08782177160973e-4,0.017187967796153596,0.01429999129359858
GO:0007165,MGG_09947/MGG_11174/MGG_09531/MGG_06930/MGG_07517/MGG_12377/MGG_01150/MGG_00211/MGG_06390/MGG_09210,signal transduction,10/402,78/10114,9.87618692447269e-4,0.022107464577088867,0.018392898725738613
GO:0003777,MGG_05060/MGG_02425/MGG_06839/MGG_04366,microtubule motor activity,4/402,13/10114,0.0013208600259094682,0.02645827648057267,0.02201267350526936
GO:0008289,MGG_02958/MGG_09947/MGG_12832/MGG_08135/MGG_04616,lipid binding,5/402,22/10114,0.001454750596869975,0.02645827648057267,0.02201267350526936
GO:0035091,MGG_06628/MGG_00960/MGG_12832/MGG_11649/MGG_02948,phosphatidylinositol binding,5/402,22/10114,0.001454750596869975,0.02645827648057267,0.02201267350526936
GO:0008017,MGG_05060/MGG_02425/MGG_06839/MGG_04366,microtubule binding,4/402,14/10114,0.0017916542557590556,0.030668905201522656,0.02551581912226519
GO:0005789,MGG_08975/MGG_06183/MGG_04427/MGG_12141/MGG_01108/MGG_08858/MGG_06143/MGG_00747/MGG_09310/MGG_08135/MGG_05758/MGG_06390/MGG_03644,endoplasmic reticulum membrane,13/402,130/10114,0.0019570564795853285,0.03163907975329615,0.026322981889159387
GO:0007018,MGG_05060/MGG_02425/MGG_06839/MGG_04366,microtubule-based movement,4/402,15/10114,0.0023672351617177365,0.03625607537157165,0.030164215357068112
GO:0006812,MGG_06469/MGG_01381/MGG_00111/MGG_06437/MGG_11903/MGG_04159/MGG_05211,cation transport,7/402,50/10114,0.0033904186076773872,0.04933059074170599,0.04104190946135785
