ID,geneID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue
GO:0050790,MGG_00928/MGG_00446/MGG_01472/MGG_04954/MGG_06158/MGG_01745/MGG_04186/MGG_05318/MGG_06504/MGG_06390/MGG_03275/MGG_03162/MGG_11178/MGG_12130,regulation of catalytic activity,14/376,73/10114,3.795135842776523e-7,1.0778185793485325e-4,9.108326022663655e-5
GO:0035091,MGG_12832/MGG_04955/MGG_01047/MGG_00455/MGG_00852/MGG_02948/MGG_00960,phosphatidylinositol binding,7/376,22/10114,9.758192112030808e-6,0.0011502532008166623,9.720449584366159e-4
GO:0006812,MGG_07200/MGG_05211/MGG_07971/MGG_04159/MGG_02487/MGG_00111/MGG_00633/MGG_06469/MGG_01381/MGG_04623,cation transport,10/376,50/10114,1.21505619804577e-5,0.0011502532008166623,9.720449584366159e-4
GO:0005096,MGG_14823/MGG_01472/MGG_04954/MGG_01745/MGG_04186/MGG_06390/MGG_03162,GTPase activator activity,7/376,25/10114,2.4970271450082955e-5,0.0017728892729558898,0.0014982162870049774
GO:0003723,MGG_16895/MGG_04351/MGG_02580/MGG_04647/MGG_10192/MGG_04179/MGG_04727/MGG_13154/MGG_06396/MGG_06748/MGG_04405/MGG_06410/MGG_02632/MGG_08170/MGG_06318/MGG_00514/MGG_12370/MGG_12972/MGG_14563/MGG_00348/MGG_06481/MGG_05307/MGG_05264,RNA binding,23/376,251/10114,5.9399011795029165e-5,0.003373863869957656,0.0028511525661614003
GO:0005886,MGG_07200/MGG_05211/MGG_01047/MGG_06649/MGG_10322/MGG_02630/MGG_07151/MGG_06440/MGG_05626/MGG_02410,plasma membrane,10/376,70/10114,2.4208291303551378e-4,0.011458591217014319,0.009683316521420552
GO:0005768,MGG_12832/MGG_07037/MGG_06649/MGG_00455/MGG_07151/MGG_05626,endosome,6/376,26/10114,3.1026936511769146e-4,0.01258807138477491,0.010637806804035137
GO:0008047,MGG_06924/MGG_05522/MGG_04186/MGG_06390,enzyme activator activity,4/376,11/10114,5.039400475088982e-4,0.014941084113543801,0.012626268264966593
GO:0003682,MGG_14751/MGG_02824/MGG_04421/MGG_13532/MGG_04363,chromatin binding,5/376,19/10114,5.22225795585454e-4,0.014941084113543801,0.012626268264966593
GO:0005622,MGG_06480/MGG_02505/MGG_11252/MGG_00896/MGG_12268/MGG_04955/MGG_02824/MGG_00928/MGG_04467/MGG_03204/MGG_16711/MGG_00504/MGG_06358/MGG_02632/MGG_01209/MGG_02493/MGG_07312/MGG_03265/MGG_04186/MGG_00852/MGG_12972/MGG_12377/MGG_14872/MGG_08613/MGG_05700/MGG_06390/MGG_05332/MGG_03451/MGG_11178/MGG_05133,intracellular anatomical structure,30/376,424/10114,5.260945110402747e-4,0.014941084113543801,0.012626268264966593
GO:0003676,MGG_02505/MGG_04351/MGG_11252/MGG_02580/MGG_04589/MGG_00896/MGG_06388/MGG_04179/MGG_04727/MGG_06748/MGG_00504/MGG_04405/MGG_01209/MGG_06318/MGG_09373/MGG_00514/MGG_15532/MGG_12370/MGG_12972/MGG_05700/MGG_00348/MGG_01012/MGG_05307/MGG_03451/MGG_05264/MGG_05133/MGG_04966,nucleic acid binding,27/376,376/10114,7.96149807732828e-4,0.02034209220589762,0.017190500455688134
GO:0010008,MGG_12832/MGG_07037/MGG_06649/MGG_00455/MGG_05626,endosome membrane,5/376,21/10114,8.595250227844065e-4,0.02034209220589762,0.017190500455688134
GO:0003743,MGG_16895/MGG_04647/MGG_10192/MGG_08170/MGG_05134/MGG_01671/MGG_05264,translation initiation factor activity,7/376,43/10114,9.401819326401667e-4,0.020539359143831336,0.017357204910280002
GO:0000329,MGG_05299/MGG_08827/MGG_03101/MGG_02464/MGG_04855,fungal-type vacuole membrane,5/376,22/10114,0.0010787778822497526,0.02188377989706641,0.018493335124281474
GO:0016310,MGG_06399/MGG_05199/MGG_06678/MGG_00446/MGG_02757/MGG_07312/MGG_01196/MGG_06393/MGG_06760/MGG_07151/MGG_01795/MGG_12862/MGG_08622/MGG_05376/MGG_08804/MGG_06070/MGG_08547/MGG_01822,phosphorylation,18/376,230/10114,0.0023190049212998766,0.043906493176610994,0.037104078740798026
GO:0003677,MGG_09917/MGG_14751/MGG_00354/MGG_10150/MGG_04589/MGG_02824/MGG_06388/MGG_00780/MGG_03204/MGG_02632/MGG_04421/MGG_02493/MGG_06971/MGG_17841/MGG_06960/MGG_13532/MGG_00138/MGG_14872/MGG_00692/MGG_01325/MGG_01012/MGG_06162/MGG_08199/MGG_06258/MGG_12814/MGG_17821/MGG_12130,DNA binding,27/376,410/10114,0.0027983090948487384,0.0478473007004577,0.0404343386201051
GO:0016301,MGG_06399/MGG_05199/MGG_06678/MGG_00446/MGG_02757/MGG_07312/MGG_01196/MGG_06393/MGG_06760/MGG_07151/MGG_01795/MGG_12862/MGG_08622/MGG_05376/MGG_06070/MGG_08547/MGG_01822,kinase activity,17/376,216/10114,0.0028640989855907776,0.0478473007004577,0.0404343386201051
